Key,Original Text,File,Line,Type
"test-shadowing.page._repeat_the_sentence_during_th","• Repeat the sentence during the pause","src/app/test-shadowing/page.tsx",58,jsx
"test-shadowing.page._adjust_speed_and_repeat_count","• Adjust speed and repeat count to match your level","src/app/test-shadowing/page.tsx",59,jsx
"test-shadowing.page._navigate_between_sentences_wi","• Navigate between sentences with previous/next buttons","src/app/test-shadowing/page.tsx",60,jsx
"test-shadowing.page._click_on_any_sentence_in_the_","• Click on any sentence in the list to jump to it","src/app/test-shadowing/page.tsx",61,jsx
"test-eviction.page.lru_eviction_test","LRU Eviction Test","src/app/test-eviction/page.tsx",115,jsx
"test-eviction.page.user_information","User Information","src/app/test-eviction/page.tsx",119,jsx
"test-eviction.page.user_type","User Type:","src/app/test-eviction/page.tsx",121,jsx
"test-eviction.page.current_count","Current Count:","src/app/test-eviction/page.tsx",122,jsx
"test-eviction.page.max_allowed","Max Allowed:","src/app/test-eviction/page.tsx",123,jsx
"test-eviction.page.storage_used","Storage Used:","src/app/test-eviction/page.tsx",126,jsx
"test-eviction.page.utilization","Utilization:","src/app/test-eviction/page.tsx",127,jsx
"test-eviction.page.storage_status","Storage Status","src/app/test-eviction/page.tsx",135,jsx
"test-eviction.page.test_actions","Test Actions","src/app/test-eviction/page.tsx",141,jsx
"test-eviction.page.cached_articles","Cached Articles","src/app/test-eviction/page.tsx",164,jsx
"test-eviction.page.test_results","Test Results","src/app/test-eviction/page.tsx",196,jsx
"test-eviction.page.no_test_results_yet_try_cachin","No test results yet. Try caching some articles!","src/app/test-eviction/page.tsx",199,jsx
"test-eviction.page.how_to_test_eviction","How to Test Eviction","src/app/test-eviction/page.tsx",212,jsx
"test-eviction.page.start_by_caching_a_few_article","Start by caching a few articles to see the storage limits","src/app/test-eviction/page.tsx",214,jsx
"test-eviction.page.once_you_reach_the_limit_3_for","Once you reach the limit (3 for free users), new articles will trigger eviction","src/app/test-eviction/page.tsx",215,jsx
"test-eviction.page.mark_an_article_as_active_to_p","Mark an article as ""active"" to protect it from eviction","src/app/test-eviction/page.tsx",216,jsx
"test-eviction.page.try_caching_large_articles_to_","Try caching large articles to trigger size-based eviction","src/app/test-eviction/page.tsx",217,jsx
"test-eviction.page.watch_the_storage_indicator_to","Watch the storage indicator to see utilization changes","src/app/test-eviction/page.tsx",218,jsx
"test-eviction.page.check_the_console_for_detailed","Check the console for detailed eviction logs","src/app/test-eviction/page.tsx",219,jsx
"test-cache.page.cache_system_test_page","Cache System Test Page","src/app/test-cache/page.tsx",135,jsx
"test-cache.page.system_status","System Status","src/app/test-cache/page.tsx",139,jsx
"test-cache.page.user_type","User Type:","src/app/test-cache/page.tsx",143,jsx
"test-cache.page.current_cached_articles","Current Cached Articles:","src/app/test-cache/page.tsx",144,jsx
"test-cache.page.cache_statistics","Cache Statistics","src/app/test-cache/page.tsx",153,jsx
"test-cache.page.test_controls","Test Controls","src/app/test-cache/page.tsx",165,jsx
"test-cache.page.test_results","Test Results","src/app/test-cache/page.tsx",209,jsx
"test-cache.page.no_test_results_yet_click_the_","No test results yet. Click the buttons above to start testing.","src/app/test-cache/page.tsx",212,jsx
"test-cache.page.testing_instructions","Testing Instructions:","src/app/test-cache/page.tsx",225,jsx
"test-cache.page.click_cache_test_article_to_ca","Click ""Cache Test Article"" to cache an article","src/app/test-cache/page.tsx",227,jsx
"test-cache.page.try_caching_multiple_articles_","Try caching multiple articles to test the limit enforcement","src/app/test-cache/page.tsx",228,jsx
"test-cache.page.click_get_cached_article_to_ve","Click ""Get Cached Article"" to verify retrieval works","src/app/test-cache/page.tsx",229,jsx
"test-cache.page.open_devtools_application_serv","Open DevTools → Application → Service Workers to verify SW is active","src/app/test-cache/page.tsx",230,jsx
"test-cache.page.go_offline_devtools_network_of","Go offline (DevTools → Network → Offline) and test cached content","src/app/test-cache/page.tsx",231,jsx
"test-cache.page.test_as_different_user_types_t","Test as different user types to verify limits work correctly","src/app/test-cache/page.tsx",232,jsx
"stories.page.","📖","src/app/stories/page.tsx",263,jsx
"stories.page.","💾","src/app/stories/page.tsx",269,jsx
"stories.page.","📄","src/app/stories/page.tsx",290,jsx
"stories.page.want_unlimited_stories","Want unlimited stories?","src/app/stories/page.tsx",311,jsx
"[slug].page.loading_story","Loading story...","src/app/stories/[slug]/page.tsx",98,jsx
"settings.page.loading","Loading...","src/app/settings/page.tsx",58,jsx
"settings.page.sync_error","Sync Error","src/app/settings/page.tsx",561,jsx
"settings.page.","☁️","src/app/settings/page.tsx",626,jsx
"settings.page.100","1.0.0","src/app/settings/page.tsx",703,jsx
"settings.page.20250612","2025.06.12","src/app/settings/page.tsx",707,jsx
"settings.page.","⚠️","src/app/settings/page.tsx",769,jsx
"settings.page.","🧹","src/app/settings/page.tsx",818,jsx
"settings.page.current_cache","Current Cache:","src/app/settings/page.tsx",829,jsx
"settings.page.sync_now","Sync Now","src/app/settings/page.tsx",589,prop
"settings.page.manually_sync_your_data_with_t","Manually sync your data with the cloud","src/app/settings/page.tsx",590,prop
"settings.page.clear_browser_cache","Clear Browser Cache","src/app/settings/page.tsx",613,prop
"settings.page.fix_sync_issues_by_clearing_ca","Fix sync issues by clearing cached data","src/app/settings/page.tsx",614,prop
"terms-of-service.page.","📋","src/app/settings/terms-of-service/page.tsx",14,jsx
"terms-of-service.page.agreement_to_terms","Agreement to Terms","src/app/settings/terms-of-service/page.tsx",24,jsx
"terms-of-service.page.permitted_use","Permitted Use","src/app/settings/terms-of-service/page.tsx",32,jsx
"terms-of-service.page.educational_purpose","Educational Purpose","src/app/settings/terms-of-service/page.tsx",37,jsx
"terms-of-service.page.personal_use","Personal Use","src/app/settings/terms-of-service/page.tsx",46,jsx
"terms-of-service.page.data_export","Data Export","src/app/settings/terms-of-service/page.tsx",55,jsx
"terms-of-service.page.prohibited_activities","Prohibited Activities","src/app/settings/terms-of-service/page.tsx",65,jsx
"terms-of-service.page.reverse_engineering","Reverse Engineering","src/app/settings/terms-of-service/page.tsx",70,jsx
"terms-of-service.page.commercial_redistribution","Commercial Redistribution","src/app/settings/terms-of-service/page.tsx",79,jsx
"terms-of-service.page.harmful_activities","Harmful Activities","src/app/settings/terms-of-service/page.tsx",88,jsx
"terms-of-service.page.content_and_data","Content and Data","src/app/settings/terms-of-service/page.tsx",98,jsx
"terms-of-service.page.your_data","Your Data","src/app/settings/terms-of-service/page.tsx",101,jsx
"terms-of-service.page.educational_content","Educational Content","src/app/settings/terms-of-service/page.tsx",108,jsx
"terms-of-service.page.disclaimer_of_warranties","Disclaimer of Warranties","src/app/settings/terms-of-service/page.tsx",118,jsx
"terms-of-service.page.limitation_of_liability","Limitation of Liability","src/app/settings/terms-of-service/page.tsx",129,jsx
"terms-of-service.page.open_source_components","Open Source Components","src/app/settings/terms-of-service/page.tsx",140,jsx
"terms-of-service.page.changes_to_terms","Changes to Terms","src/app/settings/terms-of-service/page.tsx",148,jsx
"terms-of-service.page.","🎌","src/app/settings/terms-of-service/page.tsx",170,jsx
"terms-of-service.page.terms_of_service","Terms of Service","src/app/settings/terms-of-service/page.tsx",8,prop
"privacy-policy.page.","🔒","src/app/settings/privacy-policy/page.tsx",14,jsx
"privacy-policy.page.privacy_commitment","Privacy Commitment","src/app/settings/privacy-policy/page.tsx",24,jsx
"privacy-policy.page.data_storage","Data Storage","src/app/settings/privacy-policy/page.tsx",32,jsx
"privacy-policy.page.local_storage_only","Local Storage Only","src/app/settings/privacy-policy/page.tsx",37,jsx
"privacy-policy.page.no_server_storage","No Server Storage","src/app/settings/privacy-policy/page.tsx",46,jsx
"privacy-policy.page.you_control_your_data","You Control Your Data","src/app/settings/privacy-policy/page.tsx",55,jsx
"privacy-policy.page.what_we_dont_collect","What We Don't Collect","src/app/settings/privacy-policy/page.tsx",65,jsx
"privacy-policy.page.personal_information","Personal Information","src/app/settings/privacy-policy/page.tsx",70,jsx
"privacy-policy.page.usage_analytics","Usage Analytics","src/app/settings/privacy-policy/page.tsx",79,jsx
"privacy-policy.page.thirdparty_sharing","Third-party Sharing","src/app/settings/privacy-policy/page.tsx",88,jsx
"privacy-policy.page.local_data_types","Local Data Types","src/app/settings/privacy-policy/page.tsx",98,jsx
"privacy-policy.page.learning_progress_and_statisti","Learning progress and statistics","src/app/settings/privacy-policy/page.tsx",105,jsx
"privacy-policy.page.custom_word_lists_and_saved_wo","Custom word lists and saved words","src/app/settings/privacy-policy/page.tsx",109,jsx
"privacy-policy.page.app_settings_and_preferences","App settings and preferences","src/app/settings/privacy-policy/page.tsx",113,jsx
"privacy-policy.page.recently_viewed_words_history","Recently viewed words history","src/app/settings/privacy-policy/page.tsx",117,jsx
"privacy-policy.page.","🙏","src/app/settings/privacy-policy/page.tsx",137,jsx
"privacy-policy.page.privacy_policy","Privacy Policy","src/app/settings/privacy-policy/page.tsx",8,prop
"acknowledgments.page.","🙏","src/app/settings/acknowledgments/page.tsx",14,jsx
"acknowledgments.page.core_technologies","Core Technologies","src/app/settings/acknowledgments/page.tsx",24,jsx
"acknowledgments.page.","⚛️","src/app/settings/acknowledgments/page.tsx",27,jsx
"acknowledgments.page.wanikani_api","WaniKani API","src/app/settings/acknowledgments/page.tsx",29,jsx
"acknowledgments.page.","📚","src/app/settings/acknowledgments/page.tsx",88,jsx
"acknowledgments.page.japanese_language_data","Japanese Language Data","src/app/settings/acknowledgments/page.tsx",67,jsx
"acknowledgments.page.","🇯🇵","src/app/settings/acknowledgments/page.tsx",70,jsx
"acknowledgments.page.jishoorg","Jisho.org","src/app/settings/acknowledgments/page.tsx",90,jsx
"acknowledgments.page.primary_data_source","Primary Data Source:","src/app/settings/acknowledgments/page.tsx",107,jsx
"acknowledgments.page.development_tools","Development Tools","src/app/settings/acknowledgments/page.tsx",116,jsx
"acknowledgments.page.code_linting","Code linting","src/app/settings/acknowledgments/page.tsx",120,jsx
"acknowledgments.page.code_formatting","Code formatting","src/app/settings/acknowledgments/page.tsx",124,jsx
"acknowledgments.page.testing_framework","Testing framework","src/app/settings/acknowledgments/page.tsx",128,jsx
"acknowledgments.page.hosting_platform","Hosting platform","src/app/settings/acknowledgments/page.tsx",132,jsx
"acknowledgments.page.community_inspiration","Community & Inspiration","src/app/settings/acknowledgments/page.tsx",138,jsx
"acknowledgments.page.japanese_language_learning_com","Japanese Language Learning Community","src/app/settings/acknowledgments/page.tsx",144,jsx
"acknowledgments.page.open_source_contributors","Open Source Contributors","src/app/settings/acknowledgments/page.tsx",153,jsx
"acknowledgments.page.beta_testers","Beta Testers","src/app/settings/acknowledgments/page.tsx",162,jsx
"acknowledgments.page.license_information","License Information","src/app/settings/acknowledgments/page.tsx",171,jsx
"acknowledgments.page.","❤️","src/app/settings/acknowledgments/page.tsx",184,jsx
"resources.page.category","Category:","src/app/resources/page.tsx",141,jsx
"resources.page.all_categories","All Categories","src/app/resources/page.tsx",147,jsx
"resources.page.featured_only","Featured only","src/app/resources/page.tsx",161,jsx
"resources.page.","📚","src/app/resources/page.tsx",185,jsx
"resources.page.","📝","src/app/resources/page.tsx",190,jsx
"resources.page.","📖","src/app/resources/page.tsx",356,jsx
"resources.page.","🕒","src/app/resources/page.tsx",360,jsx
"resources.page.read_more","Read More","src/app/resources/page.tsx",387,jsx
"resources.page.search_resources","Search resources...","src/app/resources/page.tsx",126,prop
"resources.page.resource_icon","Resource icon","src/app/resources/page.tsx",301,prop
"[slug].page.","📖","src/app/resources/[slug]/page.tsx",89,jsx
"[slug].page.loading_resource","Loading resource...","src/app/resources/[slug]/page.tsx",90,jsx
"[slug].page.","📄","src/app/resources/[slug]/page.tsx",107,jsx
"[slug].page.resource_not_found","Resource Not Found","src/app/resources/[slug]/page.tsx",105,prop
"practice.page.show_romaji","Show Romaji","src/app/practice/page.tsx",382,jsx
"practice.page.study_hiragana","Study Hiragana","src/app/practice/page.tsx",405,jsx
"practice.page.study_katakana","Study Katakana","src/app/practice/page.tsx",406,jsx
"practice.page.study_both","Study Both","src/app/practice/page.tsx",407,jsx
"practice.page.note","Note:","src/app/practice/page.tsx",476,jsx
"practice.page.warning","Warning:","src/app/practice/page.tsx",482,jsx
"practice.page.filter_by_word_type","Filter by Word Type:","src/app/practice/page.tsx",570,jsx
"practice.page.click_to_view_conjugations","Click to view conjugations","src/app/practice/page.tsx",826,jsx
"practice.page.save_to_list","Save to List","src/app/practice/page.tsx",774,prop
"practice.page.select_lists","Select lists:","src/app/practice/page.tsx",877,jsx
"practice.page.back_to_word_list","Back to word list","src/app/practice/page.tsx",979,jsx
"practice.page.create_new_list","Create new list...","src/app/practice/page.tsx",861,prop
"practice.page.tense_polarity","Tense & Polarity","src/app/practice/page.tsx",1026,prop
"practice.page.additional_forms","Additional Forms","src/app/practice/page.tsx",1058,prop
"offline.page._practice_conjugations","• Practice conjugations","src/app/offline/page.tsx",46,jsx
"offline.page._review_vocabulary","• Review vocabulary","src/app/offline/page.tsx",47,jsx
"offline.page._access_cached_content","• Access cached content","src/app/offline/page.tsx",48,jsx
"offline.page._view_your_progress","• View your progress","src/app/offline/page.tsx",49,jsx
"offline.page._dictionary_lookups","• Dictionary lookups","src/app/offline/page.tsx",57,jsx
"offline.page._new_content_updates","• New content updates","src/app/offline/page.tsx",58,jsx
"offline.page._wanikani_integration","• WaniKani integration","src/app/offline/page.tsx",59,jsx
"offline.page._data_synchronization","• Data synchronization","src/app/offline/page.tsx",60,jsx
"news.page.","📰","src/app/news/page.tsx",479,jsx
"news.page.","🔄","src/app/news/page.tsx",256,jsx
"news.page._and","🌐 and","src/app/news/page.tsx",402,jsx
"news.page.","⚠️","src/app/news/page.tsx",436,jsx
"news.page.error_loading_articles","Error Loading Articles","src/app/news/page.tsx",438,jsx
"news.page.japanese_news_articles","Japanese News Articles","src/app/news/page.tsx",396,prop
"[id].page.loading_article","Loading article...","src/app/news/[id]/page.tsx",95,jsx
"kanji-moods.page.loading_mood_boards","Loading mood boards...","src/app/kanji-moods/page.tsx",53,jsx
"kanji-moods.page.","🗺️","src/app/kanji-moods/page.tsx",87,jsx
"kanji-moods.page.your_progress","Your Progress","src/app/kanji-moods/page.tsx",102,jsx
"kanji-moods.page.total_boards","Total Boards","src/app/kanji-moods/page.tsx",106,jsx
"kanji-moods.page.total_kanji","Total Kanji","src/app/kanji-moods/page.tsx",116,jsx
"kanji-moods.page.","📚","src/app/kanji-moods/page.tsx",147,jsx
"kanji-moods.page.","🚀","src/app/kanji-moods/page.tsx",162,jsx
"kanji-moods.page.choose_a_theme","Choose a Theme","src/app/kanji-moods/page.tsx",172,jsx
"kanji-moods.page.study_each_kanji","Study Each Kanji","src/app/kanji-moods/page.tsx",183,jsx
"kanji-moods.page.mark_as_learned","Mark as Learned","src/app/kanji-moods/page.tsx",196,jsx
"kanji-moods.page.complete_the_board","Complete the Board","src/app/kanji-moods/page.tsx",207,jsx
"kanji-moods.page.kanji_mood_boards","Kanji Mood Boards","src/app/kanji-moods/page.tsx",82,prop
"[boardId].page.loading_mood_board","Loading mood board...","src/app/kanji-moods/[boardId]/page.tsx",71,jsx
"kanji-browser.page.pokball","Pokéball","src/app/kanji-browser/page.tsx",416,prop
"games.page.","🎮","src/app/games/page.tsx",878,jsx
"games.page.loading_games","Loading games...","src/app/games/page.tsx",816,jsx
"games.page.","🎧","src/app/games/page.tsx",1121,jsx
"games.page.","🔤","src/app/games/page.tsx",1191,jsx
"games.page.build_the_kana","Build the Kana:","src/app/games/page.tsx",1208,jsx
"games.page.click_kana_segments_below_to_b","Click kana segments below to build the word","src/app/games/page.tsx",1213,jsx
"games.page.available_kana","Available Kana:","src/app/games/page.tsx",1230,jsx
"games.page.pokball","Pokéball","src/app/games/page.tsx",1374,prop
"favourites.page.loading_your_collections","Loading your collections...","src/app/favourites/page.tsx",530,jsx
"favourites.page.","📚","src/app/favourites/page.tsx",606,jsx
"favourites.page.","📝","src/app/favourites/page.tsx",773,jsx
"favourites.page.no_items_in_this_list_yet","No items in this list yet","src/app/favourites/page.tsx",774,jsx
"favourites.page.loading_your_bookmarked_articl","Loading your bookmarked articles...","src/app/favourites/page.tsx",783,jsx
"favourites.page.","📰","src/app/favourites/page.tsx",788,jsx
"favourites.page.","🔍","src/app/favourites/page.tsx",1129,jsx
"favourites.page.loading_your_bookmarked_storie","Loading your bookmarked stories...","src/app/favourites/page.tsx",976,jsx
"favourites.page.","📖","src/app/favourites/page.tsx",981,jsx
"favourites.page.0_","0 &&","src/app/favourites/page.tsx",1326,jsx
"favourites.page.delete_list","Delete list","src/app/favourites/page.tsx",670,prop
"favourites.page.remove_bookmark","Remove bookmark","src/app/favourites/page.tsx",1088,prop
"favourites.page.view_original","View original","src/app/favourites/page.tsx",948,prop
"favourites.page.create_new_study_list","Create New Study List","src/app/favourites/page.tsx",1155,prop
"favourites.page.remove_article_bookmark","Remove Article Bookmark","src/app/favourites/page.tsx",1175,prop
"favourites.page.are_you_sure_you_want_to_remov","Are you sure you want to remove this article from your saved items? This action cannot be undone.","src/app/favourites/page.tsx",1176,prop
"favourites.page.remove_story_bookmark","Remove Story Bookmark","src/app/favourites/page.tsx",1193,prop
"favourites.page.remove_from_list","Remove from list","src/app/favourites/page.tsx",1471,prop
"drill.page.","📚","src/app/drill/page.tsx",1000,jsx
"drill.page.daily_goal","Daily Goal:","src/app/drill/page.tsx",1034,jsx
"drill.page.change_in_settings","(Change in Settings)","src/app/drill/page.tsx",1035,jsx
"drill.page.drill_mode","Drill Mode:","src/app/drill/page.tsx",1041,jsx
"drill.page.select_conjugable_lists_to_dri","Select conjugable lists to drill:","src/app/drill/page.tsx",1070,jsx
"drill.page._conjugable","✓ conjugable","src/app/drill/page.tsx",1090,jsx
"drill.page.practice_with","Practice with:","src/app/drill/page.tsx",1108,jsx
"drill.page.autoadvance_to_next_question","Auto-advance to next question","src/app/drill/page.tsx",1136,jsx
"drill.page.automatically_moves_to_next_af","(automatically moves to next after 2 seconds)","src/app/drill/page.tsx",1137,jsx
"drill.page.loading_flashcards","Loading flashcards...","src/app/drill/page.tsx",1309,jsx
"drill.page.","🎴","src/app/drill/page.tsx",1313,jsx
"drill.page.total_cards","Total Cards","src/app/drill/page.tsx",1339,jsx
"drill.page.due_today","Due Today","src/app/drill/page.tsx",1343,jsx
"drill.page.avg_stability","Avg Stability","src/app/drill/page.tsx",1351,jsx
"drill.page.recommended_session","Recommended Session","src/app/drill/page.tsx",1372,jsx
"drill.page.focus_areas","Focus Areas","src/app/drill/page.tsx",1377,jsx
"drill.page._how_due_cards_work","💡 How Due Cards Work:","src/app/drill/page.tsx",1465,jsx
"drill.page._due_cards_come_from_your_exis","• Due cards come from your existing lists (words/kanji you've already studied)","src/app/drill/page.tsx",1467,jsx
"drill.page._the_spaced_repetition_algorit","• The spaced repetition algorithm schedules when each card needs review","src/app/drill/page.tsx",1468,jsx
"drill.page._select_any_list_containing_ca","• Select any list containing cards you've studied before to see due cards","src/app/drill/page.tsx",1469,jsx
"drill.page._new_cards_never_studied_wont_","• New cards (never studied) won't appear as ""due""","src/app/drill/page.tsx",1470,jsx
"drill.page.card_direction","Card Direction:","src/app/drill/page.tsx",1490,jsx
"drill.page.show_hints_on_flashcards","Show hints on flashcards","src/app/drill/page.tsx",1541,jsx
"drill.page.readingpronunciation_help","(reading/pronunciation help)","src/app/drill/page.tsx",1542,jsx
"diagnose-articles.page.loading","Loading...","src/app/diagnose-articles/page.tsx",135,jsx
"diagnose-articles.page.article_diagnosis","Article Diagnosis","src/app/diagnose-articles/page.tsx",144,jsx
"diagnose-articles.page.check_specific_article","Check Specific Article","src/app/diagnose-articles/page.tsx",148,jsx
"diagnose-articles.page.title","Title:","src/app/diagnose-articles/page.tsx",171,jsx
"diagnose-articles.page.fields","Fields:","src/app/diagnose-articles/page.tsx",172,jsx
"diagnose-articles.page.content","Content:","src/app/diagnose-articles/page.tsx",173,jsx
"diagnose-articles.page.body","Body:","src/app/diagnose-articles/page.tsx",174,jsx
"diagnose-articles.page.text","Text:","src/app/diagnose-articles/page.tsx",175,jsx
"diagnose-articles.page.summary","Summary:","src/app/diagnose-articles/page.tsx",176,jsx
"diagnose-articles.page.sample","Sample:","src/app/diagnose-articles/page.tsx",177,jsx
"diagnose-articles.page.full_data_click_to_expand","Full Data (click to expand)","src/app/diagnose-articles/page.tsx",179,jsx
"diagnose-articles.page.sample_articles","Sample Articles","src/app/diagnose-articles/page.tsx",206,jsx
"diagnose-articles.page.article_id","Article ID","src/app/diagnose-articles/page.tsx",155,prop
"contact.page.","💬","src/app/contact/page.tsx",147,jsx
"admin.page.","📊","src/app/admin/page.tsx",173,jsx
"new.page.loading","Loading...","src/app/admin/stories/new/page.tsx",491,jsx
"new.page.create_new_story","Create New Story","src/app/admin/stories/new/page.tsx",518,jsx
"new.page.import_story_from_json","Import Story from JSON","src/app/admin/stories/new/page.tsx",557,jsx
"new.page.validation_errors","Validation Errors:","src/app/admin/stories/new/page.tsx",598,jsx
"new.page.warnings","Warnings:","src/app/admin/stories/new/page.tsx",609,jsx
"new.page.json_file_should_contain","JSON file should contain:","src/app/admin/stories/new/page.tsx",619,jsx
"new.page.story_title_in_english_and_jap","Story title in English and Japanese","src/app/admin/stories/new/page.tsx",621,jsx
"new.page.jlpt_level_and_theme","JLPT level and theme","src/app/admin/stories/new/page.tsx",622,jsx
"new.page.pages_with_japanese_text_with_","Pages with Japanese text (with ruby tags) and English translations","src/app/admin/stories/new/page.tsx",623,jsx
"new.page.optional_quiz_questions_tags_a","Optional: Quiz questions, tags, and SEO information","src/app/admin/stories/new/page.tsx",624,jsx
"new.page.basic_information","Basic Information","src/app/admin/stories/new/page.tsx",634,jsx
"new.page.english_title_","English Title *","src/app/admin/stories/new/page.tsx",638,jsx
"new.page.japanese_title_with_furigana_","Japanese Title (with furigana) *","src/app/admin/stories/new/page.tsx",652,jsx
"new.page.jlpt_level","JLPT Level","src/app/admin/stories/new/page.tsx",681,jsx
"new.page.url_slug","URL Slug","src/app/admin/stories/new/page.tsx",707,jsx
"new.page.cover_image","Cover Image","src/app/admin/stories/new/page.tsx",720,jsx
"new.page.pages_overview","Pages Overview","src/app/admin/stories/new/page.tsx",750,jsx
"new.page.","📷","src/app/admin/stories/new/page.tsx",809,jsx
"new.page.","🖼️","src/app/admin/stories/new/page.tsx",811,jsx
"new.page.image_alt_text_for_accessibili","Image Alt Text (for accessibility)","src/app/admin/stories/new/page.tsx",841,jsx
"new.page.japanese_text_with_ruby_tags_","Japanese Text (with ruby tags) *","src/app/admin/stories/new/page.tsx",878,jsx
"new.page.","むかし","src/app/admin/stories/new/page.tsx",884,jsx
"new.page.","、ある","src/app/admin/stories/new/page.tsx",884,jsx
"new.page.","ところ","src/app/admin/stories/new/page.tsx",884,jsx
"new.page.english_translation_","English Translation *","src/app/admin/stories/new/page.tsx",889,jsx
"new.page.correct_answer","Correct Answer","src/app/admin/stories/new/page.tsx",976,jsx
"new.page.explanation_optional","Explanation (optional)","src/app/admin/stories/new/page.tsx",989,jsx
"new.page.select_a_tag","Select a tag...","src/app/admin/stories/new/page.tsx",1020,jsx
"new.page.publishing_options","Publishing Options","src/app/admin/stories/new/page.tsx",1058,jsx
"new.page.seo_title","SEO Title","src/app/admin/stories/new/page.tsx",1078,jsx
"new.page.seo_description","SEO Description","src/app/admin/stories/new/page.tsx",1089,jsx
"new.page.publish_date","Publish Date","src/app/admin/stories/new/page.tsx",1103,jsx
"new.page.back_to_stories_list","Back to Stories List","src/app/admin/stories/new/page.tsx",512,prop
"new.page.remove_image","Remove image","src/app/admin/stories/new/page.tsx",834,prop
"new.page.describe_the_image_for_screen_","Describe the image for screen readers","src/app/admin/stories/new/page.tsx",847,prop
